Project Name,Package Name,Architecture Smell,Cause of the Smell
S3Mock,com.adobe.testing.s3mock.domain,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.domain; com.adobe.testing.s3mock.dto
S3Mock,com.adobe.testing.s3mock.domain,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.domain; com.adobe.testing.s3mock.util; com.adobe.testing.s3mock.dto
S3Mock,com.adobe.testing.s3mock.domain,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Bucket; FileStore; MultipartUploadInfo; S3Object; FileStoreTest]; [BucketContents]; [Buckets]; [KmsKeyStore]; [S3Exception]; [Tag]; [ObjectRefTest]. LCC (Lack of Component Cohesion) = 0.64
S3Mock,com.adobe.testing.s3mock.dto,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.domain
S3Mock,com.adobe.testing.s3mock.dto,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.domain; com.adobe.testing.s3mock.util
S3Mock,com.adobe.testing.s3mock.dto,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.testing.s3mock.domain
S3Mock,com.adobe.testing.s3mock.dto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BatchDeleteRequest]; [BatchDeleteRequest.ObjectToDelete]; [BatchDeleteResponse; DeletedObject]; [CommonPrefixes; ListBucketResult; ListBucketResultV2]; [CompleteMultipartUploadRequest]; [CompleteMultipartUploadResult]; [CopyObjectResult]; [CopyPartResult; CopyPartResultTest]; [ErrorResponse]; [InitiateMultipartUploadResult]; [ListAllMyBucketsResult; Owner; MultipartUpload]; [ListMultipartUploadsResult]; [ListMultipartUploadsResult.Prefix]; [ListPartsResult]; [ObjectRef]; [Part]; [Range]; [Tagging]. LCC (Lack of Component Cohesion) = 0.75
S3Mock,com.adobe.testing.s3mock,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FileStoreController]; [KmsValidationFilter]; [S3MockApplication]; [S3MockApplication.Config]; [KeyEncodingTest]; [RangeConverterTest]. LCC (Lack of Component Cohesion) = 1.0
S3Mock,com.adobe.testing.s3mock.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.util; com.adobe.testing.s3mock.domain
S3Mock,com.adobe.testing.s3mock.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.util; com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.domain
S3Mock,com.adobe.testing.s3mock.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.testing.s3mock.domain
S3Mock,com.adobe.testing.s3mock.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AwsChunkDecodingInputStream]; [AwsHttpHeaders]; [HashUtil]; [MetadataUtil]; [ObjectRefConverter]; [RangeConverter]; [S3MockExceptionHandler]; [EtagInputStream]. LCC (Lack of Component Cohesion) = 1.0
S3Mock,com.adobe.testing.s3mock.its,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AmazonClientUploadIT; S3TestBase; ErrorResponsesIT; ErrorResponsesV2IT; ListObjectIT; ListObjectV1MaxKeysIT; ListObjectV1PaginationIT; MultiPartUploadIT; PlainHttpIT]; [ListObjectIT.Param]. LCC (Lack of Component Cohesion) = 0.2
